ID,Individual,Sex,Mother ID,Mother name,Father ID,Father name,Birth date type,Birth year,Birth month,Birth day,Death date type,Death year,Death month,Death day,Partner ID,Partner name,Partner title,Partnership type,Partnership date type,Partnership year,Ex-partner IDs,place of birth,coordinate location birth,place of death,coordinate location death,Profession
EFFYS,Isabella Aviz,Female,,,,,Known,1503,10,24,Known,1539,5,1,J4PKZ,Charles V von Habsburg,Husband,Married,Known,1526,,Évora,"38.5725,-7.9072222222222",Dijon,"47.323055555556,5.0419444444444",Holy Roman Empress
JOCRB,Henry IV Bourbon,Male,,,,,Known,1553,12,13,Known,1610,5,14,YG55T,Margaret Valois,Ex-wife,Annulled,Known,1572,CROIU,Château de Pau,"43.294722222222,-0.375",Paris,"48.85666666666667,2.352222222222222",King of France and Navarre
IHZQE,Louis XIII Bourbon,Male,CROIU,Marie de' Medici,JOCRB,Henry IV Bourbon,Known,1601,9,27,Known,1643,5,14,NEGXD,Anne von Habsburg,Wife,Married,Known,1615,,Fontainebleau,"48.408888888889,2.7016666666667",Saint-Germain-en-Laye,"48.896388888889,2.0905555555556",King of France
RBMWM,Louis XIV Bourbon,Male,NEGXD,Anne von Habsburg,IHZQE,Louis XIII Bourbon,Known,1638,9,5,Known,1715,9,1,,,,,,,,Château de Saint-Germain-en-Laye,"48.898055555556,2.0963888888889",Palace of Versailles,"48.804722222222225,2.120277777777778",King of France
HGQ41,Philippe I Bourbon,Male,NEGXD,Anne von Habsburg,IHZQE,Louis XIII Bourbon,Known,1640,9,21,Known,1701,6,9,,,,,,,,Saint-Germain-en-Laye,"48.896388888889,2.0905555555556",Saint-Cloud,"48.846388888889,2.2152777777778",Duke of Orléans
ZCPOX,Piccarda Bueri,Female,,,,,Known,1368,,,Known,1433,4,19,X8XBU,Giovanni di Bicci de' Medici,Partner,,,,,Verona,"45.43861111111111,10.992777777777778",Florence,"43.771388888889,11.254166666667",
DRUPA,Sigismund Báthory,Male,,,,,Known,1572,3,20,Known,1613,3,27,X3CXG,Maria Christina von Habsburg,Wife,Married,Known,1595,,Oradea,"47.072222222222,21.921111111111",Prague,"50.0875,14.421388888888888","Prince of Transylvania, Wallachia, and Moldavia"
EV1ON,Ginevra Cavalcanti,Female,,,,,,,,,,,,,EXGIA,Lorenzo di Giovanni di Bicci de' Medici,Partner,,,,,,,,,
L4ZX8,Isabella d'Este,Female,,,,,Known,1474,5,19,Known,1539,2,13,Y0BIU,Francesco II Gonzaga,Husband,Married,Known,1492,,Ferrara,"44.839166666666664,11.6175",Mantua,"45.156388888889,10.791111111111",Marchioness of Mantua
H322B,Madeleine de La Tour d'Auvergne,Female,,,,,Known,1498,,,Known,1519,4,28,OG4SB,Lorenzo II de' Medici,Partner,,,,,Auvergne,"45.7,3.3",Florence,"43.771388888889,11.254166666667",Duchess of Urbino
R4QM9,Christine de Lorraine,Female,UBRKU,Claude Valois-Angoulême,S1YD1,Charles III Lorraine,Known,1565,8,16,Known,1637,12,19,SPHMU,Ferdinando I de' Medici,Partner,,,,,Palace of the Dukes of Lorraine,"48.69694444,6.18027778",Florence,"43.771388888889,11.254166666667",Grand Duchess of Tuscany
EBWYN,Contessina de' Bardi,Female,,,,,Approximate,1390,,,Known,1473,10,,QRAPC,Cosimo de' Medici,Partner,,,,,Florence,"43.771388888889,11.254166666667",Florence,"43.771388888889,11.254166666667",
,,,,,,,,,,,,,,,,,,,,,,,,,,
SY104,Alessandro de' Medici,Male,H322B,Madeleine de La Tour d'Auvergne,OG4SB,Lorenzo II de' Medici,Known,1510,7,22,Known,1537,1,6,XCE4H,Margaret von Habsburg,Partner,,,,,Florence,"43.771388888889,11.254166666667",Florence,"43.771388888889,11.254166666667",Duke of Florence
KOEB2,Anna de' Medici,Female,START,Archduchess Maria Maddalena von Habsburg,VD6AF,Cosimo II de' Medici,Known,1616,7,21,Known,1676,9,11,PEBL3,Ferdinand Charles von Habsburg,Husband,Married,Known,1646,S46KZ,Florence,"43.771388888889,11.254166666667",Vienna,"48.208333333333336,16.3725",Archduchess of Further Austria
S2EJA,Carlo de' Medici,Male,R4QM9,Christine de Lorraine,SPHMU,Ferdinando I de' Medici,Known,1595,3,19,Known,1666,6,17,,,,,,,,Florence,"43.771388888889,11.254166666667",Florence,"43.771388888889,11.254166666667",Cardinal
E00H3,Caterina de' Medici,Female,R4QM9,Christine de Lorraine,SPHMU,Ferdinando I de' Medici,Known,1593,5,2,Known,1629,4,17,JDWDX,Ferdinando Gonzaga,Husband,Married,Known,1617,,Florence,"43.771388888889,11.254166666667",Siena,"43.318333333333,11.331388888889","Duchess of Mantua and Montferrat, then Governor of Siena"
KGX78,Catherine de' Medici,Female,H322B,Madeleine de La Tour d'Auvergne,OG4SB,Lorenzo II de' Medici,Known,1519,4,13,Known,1589,1,5,D51U4,Henry II Valois-Angoulême,Husband,Married,Known,1533,,Florence,"43.771388888889,11.254166666667",Château de Blois,"47.585501,1.33095",Queen of France
YDOX5,Claudia de' Medici,Female,R4QM9,Christine de Lorraine,SPHMU,Ferdinando I de' Medici,Known,1604,6,4,Known,1648,12,25,P3NXH,Leopold V von Habsburg,Husband,Married,Known,1626,YJLTV,Palazzo Pitti,"43.765153,11.250008",Innsbruck,"47.268333333333,11.393333333333","Duchess of Urbino, then Archduchess of Further Austria"
,,,,,,,,,,,,,,,,,,,,,,,,,,
QRAPC,Cosimo de' Medici,Male,ZCPOX,Piccarda Bueri,X8XBU,Giovanni di Bicci de' Medici,Known,1389,9,27,Known,1464,8,1,EBWYN,Contessina de' Bardi,Partner,,,,,Florence,"43.771388888889,11.254166666667",Villa Medici at Careggi,"43.807917,11.250282",
JHGPE,Cosimo I de' Medici,Male,ZO0ZH,Maria Salviati,AD7CQ,Giovanni delle Bande Nere de' Medici,Known,1519,6,12,Known,1574,4,21,BI8XM,Eleonora Álvarez de Toledo y Pimentel-Osorio,Wife,Married,Known,1539,QJ4EA,Florence,"43.771388888889,11.254166666667",Villa Castello,"43.819444,11.228167",Grand Duke of Tuscany
,,,,,,,,,,,,,,,,,,,,,,,,Florence,"43.771388888889,11.254166666667",
VD6AF,Cosimo II de' Medici,Male,R4QM9,Christine de Lorraine,SPHMU,Ferdinando I de' Medici,Known,1590,5,12,Known,1621,2,28,START,Archduchess Maria Maddalena von Habsburg,Wife,Married,Known,1608,,Florence,"43.771388888889,11.254166666667",Florence,"43.771388888889,11.254166666667",Grand Duke of Tuscany
U8RR7,Eleonora de' Medici,Female,LA9C0,Joanna von Habsburg,Z3P91,Francesco I de' Medici,Known,1587,8,14,Known,1611,9,9,MOD01,Vincenzo I Gonzaga,Husband,Married,Known,1584,,,,,,Duchess of Mantua and Monferrato
SPHMU,Ferdinando I de' Medici,Male,BI8XM,Eleonora Álvarez de Toledo y Pimentel-Osorio,JHGPE,Cosimo I de' Medici,Known,1549,7,30,Known,1609,2,17,R4QM9,Christine de Lorraine,Partner,,,,,Florence,"43.771388888889,11.254166666667",Florence,"43.771388888889,11.254166666667","Cardinal, then Grand Duke of Tuscany"
HIZ11,Ferdinando II de' Medici,Male,START,Archduchess Maria Maddalena von Habsburg,VD6AF,Cosimo II de' Medici,Known,1610,7,14,Known,1670,5,23,B76S6,Vittoria della Rovere,Wife,Married,Known,1637,,Florence,"43.771388888889,11.254166666667",Florence,"43.771388888889,11.254166666667",Grand Duke of Tuscany
PBF13,Francesco de' Medici,Male,START,Archduchess Maria Maddalena von Habsburg,VD6AF,Cosimo II de' Medici,Known,1614,10,6,Known,1634,7,25,,,,,,,,Florence,"43.771388888889,11.254166666667",Regensburg,"49.016666666666666,12.083333333333334",
Z3P91,Francesco I de' Medici,Male,BI8XM,Eleonora Álvarez de Toledo y Pimentel-Osorio,JHGPE,Cosimo I de' Medici,Known,1541,3,25,Known,1587,10,19,LA9C0,Joanna von Habsburg,Wife,Married,Range,1565,,Florence,"43.771388888889,11.254166666667",Poggio a Caiano,"43.8155263,11.04400235",Grand Duke of Tuscany
M0X5K,Giovan Carlo de' Medici,Male,START,Archduchess Maria Maddalena von Habsburg,VD6AF,Cosimo II de' Medici,Known,1611,7,24,Known,1663,1,22,,,,,,,,Florence,"43.771388888889,11.254166666667",Villa Castello,"43.819444,11.228167",Cardinal
BP7GC,Giovanni de' Medici,Male,QJ4EA,Eleonora Degli Albizzi,JHGPE,Cosimo I de' Medici,Known,1567,,,Known,1621,7,19,,,,,,,,Florence,"43.771388888889,11.254166666667",Murano,"45.4575,12.35361111111111","commander, diplomat and architect"
AD7CQ,Giovanni delle Bande Nere de' Medici,Male,HXM7P,Caterina Sforza,S66W3,Giovanni di Pierfrancesco de' Medici,Known,1498,4,6,Known,1526,11,30,ZO0ZH,Maria Salviati,Partner,,,,,Forlì,"44.22277777777778,12.04138888888889",Governolo,"45.0875,10.95805556",
,,,,,,,,,,,,,,,,,,,,,,,,,,
X8XBU,Giovanni di Bicci de' Medici,Male,,,,,Known,1360,,,Known,1429,2,20,ZCPOX,Piccarda Bueri,Partner,,,,,Florence,"43.771388888889,11.254166666667",Florence,"43.771388888889,11.254166666667",
S66W3,Giovanni di Pierfrancesco de' Medici,Male,PWJP4,Laudomia di Agnolo Acciaioli,SK45E,Pierfrancesco de' Medici,Known,1467,10,21,Known,1498,9,14,,,,,,,HXM7P,Florence,"43.771388888889,11.254166666667",Bagno di Romagna,"43.833333333333,11.966666666667",
CQIPH,Leopoldo de' Medici,Male,START,Archduchess Maria Maddalena von Habsburg,VD6AF,Cosimo II de' Medici,Known,1617,11,6,Known,1675,11,10,,,,,,,,Palazzo Pitti,"43.765153,11.250008",Florence,"43.771388888889,11.254166666667","Cardinal, Governor of Sienna"
,,,,,,,,,,,,,,,,,,,,,,Florence,"43.771388888889,11.254166666667",,,
IVT99,"Lorenzo ""il Magnifico"" de' Medici",Male,L5BDT,Lucrezia Tornabuoni,B7ZKI,Piero di Cosimo de' Medici,Known,1449,1,1,Known,1492,4,8,RNCTU,Clarice Orsini,Partner,,,,,Florence,"43.771388888889,11.254166666667",Careggi,"43.8062,11.2466",
,,,,,,,,,,,,,,,,,,,,,,,,,,
EXGIA,Lorenzo di Giovanni di Bicci de' Medici,Male,ZCPOX,Piccarda Bueri,X8XBU,Giovanni di Bicci de' Medici,Known,1395,,,Known,1440,9,23,EV1ON,Ginevra Cavalcanti,Partner,,,,,Florence,"43.771388888889,11.254166666667",Florence,"43.771388888889,11.254166666667",
OG4SB,Lorenzo II de' Medici,Male,TTVF0,Alfonsina Orsini,Y2GRH,Piero di Lorenzo de' Medici,Known,1492,9,12,Known,1519,5,4,H322B,Madeleine de La Tour d'Auvergne,Partner,,,,,Florence,"43.771388888889,11.254166666667",Careggi,"43.8062,11.2466",Duke of Urbino
OGJ2R,Lucrezia Maria Romola de' Medici,Female,RNCTU,Clarice Orsini,IVT99,"Lorenzo ""il Magnifico"" de' Medici",Known,1470,8,4,Known,1553,11,15,GEM7B,Jacopo Salviati,Partner,,,,,Florence,"43.771388888889,11.254166666667",Florence,"43.771388888889,11.254166666667",
G038H,Margherita de' Medici,Female,START,Archduchess Maria Maddalena von Habsburg,VD6AF,Cosimo II de' Medici,Known,1612,5,31,Known,1679,2,6,S7JF8,Odoardo Farnese,Husband,Married,Known,1628,,Florence,"43.771388888889,11.254166666667",Parma,"44.801472222222,10.328","Duchess of Parma, Piacenza and Castro"
S1TD1,Maria Cristina de' Medici,Female,START,Archduchess Maria Maddalena von Habsburg,VD6AF,Cosimo II de' Medici,Known,1609,8,24,Known,1632,8,9,,,,,,,,Florence,"43.771388888889,11.254166666667",Florence,"43.771388888889,11.254166666667",Oblate at the Convent of the Holy Conception
NG94V,Maria Maddalena de' Medici,Female,R4QM9,Christine de Lorraine,SPHMU,Ferdinando I de' Medici,Known,1600,6,29,Known,1633,12,28,,,,,,,,Florence,"43.771388888889,11.254166666667",Florence,"43.771388888889,11.254166666667",Oblate of the Convento della Crocetta
CROIU,Marie de' Medici,Female,LA9C0,Joanna von Habsburg,Z3P91,Francesco I de' Medici,Known,1575,4,26,Known,1642,7,3,,,,,,,JOCRB,Florence,"43.771388888889,11.254166666667",Cologne,"50.942222222222,6.9577777777778",Queen of France and Navarre
,,,,,,,,,,,,,,,,,,,,,,,,,,
KHVM3,Mattias de' Medici,Male,START,Archduchess Maria Maddalena von Habsburg,VD6AF,Cosimo II de' Medici,Known,1613,5,9,Known,1667,10,11,,,,,,,,Florence,"43.771388888889,11.254166666667",Siena,"43.318333333333,11.331388888889",Governor of Siena
SK45E,Pierfrancesco de' Medici,Male,EV1ON,Ginevra Cavalcanti,EXGIA,Lorenzo di Giovanni di Bicci de' Medici,Known,1430,,,Known,1476,7,19,PWJP4,Laudomia di Agnolo Acciaioli,Partner,,,,,Florence,"43.771388888889,11.254166666667",Florence,"43.771388888889,11.254166666667",
B7ZKI,Piero di Cosimo de' Medici,Male,EBWYN,Contessina de' Bardi,QRAPC,Cosimo de' Medici,Known,1416,9,19,Known,1469,12,2,L5BDT,Lucrezia Tornabuoni,Partner,,,,,Florence,"43.771388888889,11.254166666667",Florence,"43.771388888889,11.254166666667",
Y2GRH,Piero di Lorenzo de' Medici,Male,RNCTU,Clarice Orsini,IVT99,"Lorenzo ""il Magnifico"" de' Medici",Known,1472,2,15,Known,1503,12,28,TTVF0,Alfonsina Orsini,Partner,,,,,Florence,"43.771388888889,11.254166666667",Gaeta,"41.216666666667,13.566666666667",
QJ4EA,Eleonora Degli Albizzi,Female,,,,,,,,,,,,,,,,,,,JHGPE,Florence,"43.771388888889,11.254166666667",Florence,"43.771388888889,11.254166666667",
YJLTV,Federico Ubaldo della Rovere,Male,,,,,Known,1605,5,16,Known,1623,6,28,,,,,,,YDOX5,Pesaro,"43.91015,12.9133",Urbino,"43.725238888889,12.6372",Duke of Urbino
B76S6,Vittoria della Rovere,Female,YDOX5,Claudia de' Medici,YJLTV,Federico Ubaldo della Rovere,Known,1622,2,7,Known,1694,3,5,HIZ11,Ferdinando II de' Medici,Husband,Married,Known,1637,,Pesaro,"43.91015,12.9133",Pisa,"43.716666666667,10.4",Grand Duchess of Tuscany
PWJP4,Laudomia di Agnolo Acciaioli,Female,,,,,,,,,,,,,SK45E,Pierfrancesco de' Medici,Partner,,,,,,,,,
B8A8S,Margherita Farnese,Female,,,,,Known,1567,11,7,Known,1643,4,13,,,,,,,MOD01,Parma,"44.801472222222,10.328",Piacenza,"45.05,9.7",Princess of Mantua
